,name,reference_name,HOM_ALT,HAS_ALT,N_SITES,F,transitions,transversions,titv
1,LP6005441-DNA_A01,1,76575,194216,194216,0.39428,133911,60305,2.220562142
2,LP6005441-DNA_A01,10,48418,124678,124678,0.38834,85782,38896,2.20541958
3,LP6005441-DNA_A01,11,53786,126109,126109,0.4265,85811,40298,2.129410889
4,LP6005441-DNA_A01,12,45056,116862,116862,0.38555,80299,36563,2.196181933
5,LP6005441-DNA_A01,13,43382,97987,97987,0.44273,67023,30964,2.164545924
6,LP6005441-DNA_A01,14,33631,81855,81855,0.41086,56137,25718,2.182790264
7,LP6005441-DNA_A01,15,28309,74230,74230,0.38137,50628,23602,2.145072451
8,LP6005441-DNA_A01,16,26898,75013,75013,0.35858,49155,25858,1.900959084
9,LP6005441-DNA_A01,17,24069,63833,63833,0.37706,45140,18693,2.414807682
10,LP6005441-DNA_A01,18,32794,74599,74599,0.4396,51092,23507,2.17348024
11,LP6005441-DNA_A01,19,15270,44106,44106,0.34621,31068,13038,2.38288081
12,LP6005441-DNA_A01,2,83464,216484,216484,0.38554,147363,69121,2.131957003
13,LP6005441-DNA_A01,20,18958,53573,53573,0.35387,37383,16190,2.309017912
14,LP6005441-DNA_A01,21,13565,35406,35406,0.38313,24164,11242,2.149439601
15,LP6005441-DNA_A01,22,11091,28913,28913,0.3836,20476,8437,2.426929003
16,LP6005441-DNA_A01,3,66196,183310,183310,0.36112,123644,59666,2.072268964
17,LP6005441-DNA_A01,4,78404,193264,193264,0.40568,130683,62581,2.088221665
18,LP6005441-DNA_A01,5,61118,158878,158878,0.38469,107409,51469,2.086867823
19,LP6005441-DNA_A01,6,59949,163500,163500,0.36666,112131,51369,2.182853472
20,LP6005441-DNA_A01,7,52190,137027,137027,0.38087,93341,43686,2.136634162
21,LP6005441-DNA_A01,8,52405,137461,137461,0.38124,91080,46381,1.96373515
22,LP6005441-DNA_A01,9,40125,107153,107153,0.37446,71617,35536,2.01533656
23,LP6005441-DNA_A01,MT,37,40,40,0.925,37,3,12.33333333
24,LP6005441-DNA_A01,X,47497,48344,48344,0.98248,32623,15721,2.075122448
25,LP6005441-DNA_A01,Y,403,434,434,0.92857,273,161,1.695652174
26,LP6005441-DNA_A03,1,92986,190792,190792,0.48737,131645,59147,2.225725734
27,LP6005441-DNA_A03,10,55864,123948,123948,0.45071,85473,38475,2.221520468
28,LP6005441-DNA_A03,11,60280,118171,118171,0.51011,79944,38227,2.091296727
29,LP6005441-DNA_A03,12,56505,118691,118691,0.47607,81603,37088,2.200253451
30,LP6005441-DNA_A03,13,45414,98337,98337,0.46182,66923,31414,2.130355892
31,LP6005441-DNA_A03,14,39634,81126,81126,0.48855,55289,25837,2.139915625
32,LP6005441-DNA_A03,15,33111,71249,71249,0.46472,48326,22923,2.108188283
33,LP6005441-DNA_A03,16,35801,71320,71320,0.50198,46957,24363,1.927389895
34,LP6005441-DNA_A03,17,27540,58692,58692,0.46923,41515,17177,2.416894685
35,LP6005441-DNA_A03,18,35636,74752,74752,0.47672,51208,23544,2.174991505
36,LP6005441-DNA_A03,19,18259,43108,43108,0.42356,30230,12878,2.347414195
37,LP6005441-DNA_A03,2,97461,209148,209148,0.46599,141878,67270,2.109082801
38,LP6005441-DNA_A03,20,23217,55825,55825,0.41589,38878,16947,2.29409335
39,LP6005441-DNA_A03,21,16225,36259,36259,0.44748,24857,11402,2.180056131
40,LP6005441-DNA_A03,22,12730,27703,27703,0.45952,19536,8167,2.39206563
41,LP6005441-DNA_A03,3,82678,186565,186565,0.44316,126292,60273,2.095332902
42,LP6005441-DNA_A03,4,89982,185733,185733,0.48447,125570,60163,2.087163207
43,LP6005441-DNA_A03,5,68749,153313,153313,0.44842,103354,49959,2.068776397
44,LP6005441-DNA_A03,6,70763,160400,160400,0.44117,110034,50366,2.184688083
45,LP6005441-DNA_A03,7,61442,135946,135946,0.45196,92407,43539,2.122396013
46,LP6005441-DNA_A03,8,61371,136597,136597,0.44929,90338,46259,1.952874035
47,LP6005441-DNA_A03,9,48479,105569,105569,0.45922,70501,35068,2.010408349
48,LP6005441-DNA_A03,MT,39,41,41,0.95122,NA,NA,NA
49,LP6005441-DNA_A03,X,34853,70433,70433,0.49484,47467,22966,2.066837934
50,LP6005441-DNA_A04,1,93047,189436,189436,0.49118,130574,58862,2.218307227
51,LP6005441-DNA_A04,10,57361,121745,121745,0.47116,83625,38120,2.193730325
52,LP6005441-DNA_A04,11,64970,119583,119583,0.5433,81041,38542,2.10266722
53,LP6005441-DNA_A04,12,66293,101085,101085,0.65581,69610,31475,2.211596505
54,LP6005441-DNA_A04,13,49078,95185,95185,0.51561,64959,30226,2.149110038
55,LP6005441-DNA_A04,14,44091,70962,70962,0.62133,48516,22446,2.161454157
56,LP6005441-DNA_A04,15,33191,69584,69584,0.47699,47458,22126,2.144897406
57,LP6005441-DNA_A04,16,35562,66970,66970,0.53101,43751,23219,1.884275809
58,LP6005441-DNA_A04,17,27094,57750,57750,0.46916,40723,17027,2.39167205
59,LP6005441-DNA_A04,18,35416,70740,70740,0.50065,48530,22210,2.185051778
60,LP6005441-DNA_A04,19,17858,41074,41074,0.43478,28912,12162,2.377240585
61,LP6005441-DNA_A04,2,104635,201797,201797,0.51852,137209,64588,2.124372949
62,LP6005441-DNA_A04,20,24535,50574,50574,0.48513,35131,15443,2.274881823
63,LP6005441-DNA_A04,21,17247,32513,32513,0.53046,22172,10341,2.144086645
64,LP6005441-DNA_A04,22,13899,26983,26983,0.5151,19189,7794,2.462022068
65,LP6005441-DNA_A04,3,96341,167683,167683,0.57454,113401,54282,2.089108728
66,LP6005441-DNA_A04,4,91948,180627,180627,0.50905,122139,58488,2.088274518
