,name,number_of_calls,no_calls,all_calls,missingness_rate,private_variant_count,heterozygous_variant_count,perct_het_alt_in_snvs,perct_hom_alt_in_snvs,hom_AA_count,het_RA_count
1,LP6005441-DNA_A01,2537275,560438,4076931,0.137465657,36013,1523685,0.011,0.989,47343,534
2,LP6005441-DNA_A03,2513718,601791,4098549,0.146830256,68865,1344699,0.505,0.495,33873,34576
3,LP6005441-DNA_A04,2387557,522297,3842321,0.135932682,26228,1146999,0.446,0.554,34786,27993
4,LP6005441-DNA_A05,2461157,575350,4016964,0.143230061,29854,1436402,0.008,0.992,49938,400
5,LP6005441-DNA_A06,2553320,526613,4064195,0.129573753,32631,1532621,0.009,0.991,49274,445
6,LP6005441-DNA_A08,3234295,706453,5144043,0.137334194,163096,1987494,0.009,0.991,79644,710
7,LP6005441-DNA_A10,2321780,681644,3980186,0.171259333,47787,1125945,0.043,0.957,51931,2340
8,LP6005441-DNA_A11,3229915,820082,5286640,0.155123481,206897,1981341,0.024,0.976,81548,2012
9,LP6005441-DNA_A12,2382121,491608,3796796,0.129479698,23914,1092808,0.307,0.693,40830,18073
10,LP6005441-DNA_B01,2607850,523923,4088101,0.128158037,37208,1605556,0.604,0.396,24705,37734
11,LP6005441-DNA_B02,3133011,680248,4964108,0.13703328,110047,2077996,0.645,0.355,36333,65981
12,LP6005441-DNA_B03,2420967,525549,4080603,0.128791995,65435,1280541,0.452,0.548,37855,31242
13,LP6005441-DNA_B04,2416531,555769,3917661,0.141862453,26899,1239331,0.484,0.516,32821,30791
14,LP6005441-DNA_B05,2474118,618828,4052598,0.152699083,30520,1509445,0.617,0.383,24784,39942
15,LP6005441-DNA_B06,2549130,563297,4102931,0.137291366,34383,1556980,0.605,0.395,19477,29875
16,LP6005441-DNA_B07,2594685,517494,4074290,0.127014523,39741,1471360,0.516,0.484,33104,35292
17,LP6005441-DNA_B08,3222823,761610,5182846,0.146948221,164471,2022364,0.601,0.399,43654,65630
18,LP6005441-DNA_B09,2509545,615917,4101875,0.15015499,40198,1433392,0.542,0.458,30543,36128
19,LP6005441-DNA_B10,2399061,646472,4053006,0.159504328,34926,1201840,0.436,0.564,35027,27063
20,LP6005441-DNA_B11,3297932,756776,5278328,0.14337419,202082,2002605,0.026,0.974,81681,2171
21,LP6005441-DNA_B12,2379441,473795,3769480,0.125692403,19346,1062073,0.277,0.723,41643,15934
22,LP6005441-DNA_C01,2575051,532327,4084084,0.130341834,38314,1524408,0.009,0.991,50933,440
23,LP6005441-DNA_C02,2580718,496559,4049633,0.122618272,30288,1535946,0.011,0.989,48420,536
24,LP6005441-DNA_C03,2522300,565793,4061489,0.139306791,35872,1444019,0.013,0.987,51789,681
25,LP6005441-DNA_C05,2468494,593067,4035306,0.146969524,38995,1383253,0.009,0.991,50964,445
26,LP6005441-DNA_C06,2538700,538727,4088961,0.131751562,41357,1418736,0.009,0.991,48766,466
27,LP6005441-DNA_C07,2649449,504773,4135151,0.122068819,38428,1608527,0.007,0.993,49244,341
28,LP6005441-DNA_C08,2521369,553459,4030142,0.137329901,41188,1397746,0.025,0.975,50465,1297
29,LP6005441-DNA_C09,2508992,574421,4049315,0.141856339,29800,1496538,0.011,0.989,50343,549
30,LP6005441-DNA_C10,2530531,598396,4098228,0.14601335,39717,1537913,0.012,0.988,49854,595
